,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
5,26,56,.317,26.0,93.0,97.3,-3.74,2005,Utah Jazz
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2005,Pacific Division
7,62,20,.756,—,110.4,103.3,7.08,2005,Phoenix Suns*
8,50,32,.610,12.0,103.7,101.6,2.56,2005,Sacramento Kings*
9,37,45,.451,25.0,95.7,96.5,-0.47,2005,Los Angeles Clippers
10,34,48,.415,28.0,98.7,101.7,-2.32,2005,Los Angeles Lakers
11,34,48,.415,28.0,98.7,100.9,-1.74,2005,Golden State Warriors
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2005,Southwest Division
13,59,23,.720,—,96.2,88.4,7.84,2005,San Antonio Spurs*
14,58,24,.707,1.0,102.5,96.8,5.86,2005,Dallas Mavericks*
15,51,31,.622,8.0,95.1,91.0,4.27,2005,Houston Rockets*
16,45,37,.549,14.0,93.4,91.1,2.64,2005,Memphis Grizzlies*
17,18,64,.220,41.0,88.4,95.5,-6.30,2005,New Orleans Hornets
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2006,Northwest Division
1,44,38,.537,—,100.3,100.1,0.36,2006,Denver Nuggets*
2,41,41,.500,3.0,92.4,95.0,-2.49,2006,Utah Jazz
3,35,47,.427,9.0,102.6,105.6,-2.88,2006,Seattle SuperSonics
4,33,49,.402,11.0,91.7,93.6,-1.75,2006,Minnesota Timberwolves
5,21,61,.256,23.0,88.8,98.3,-8.91,2006,Portland Trail Blazers
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2006,Pacific Division
7,54,28,.659,—,108.4,102.8,5.48,2006,Phoenix Suns*
8,47,35,.573,7.0,97.2,95.6,1.75,2006,Los Angeles Clippers*
9,45,37,.549,9.0,99.4,96.9,2.53,2006,Los Angeles Lakers*
10,44,38,.537,10.0,98.9,97.3,1.61,2006,Sacramento Kings*
11,34,48,.415,20.0,98.5,99.8,-1.11,2006,Golden State Warriors
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2006,Southwest Division
13,63,19,.768,—,95.6,88.8,6.69,2006,San Antonio Spurs*
14,60,22,.732,3.0,99.1,93.1,5.96,2006,Dallas Mavericks*
15,49,33,.598,14.0,92.2,88.5,3.74,2006,Memphis Grizzlies*
16,38,44,.463,25.0,92.8,95.6,-2.51,2006,New Orleans/Oklahoma City Hornets
17,34,48,.415,29.0,90.1,91.7,-1.30,2006,Houston Rockets
